Date,Name,Character(s),Species,Type,Source
12/29/21,Bandit Raccoon,Bandit,Raccoon,Digital,deviantart
12/26/21,Raccoons Christmas Stamp,"Art, Rocky","Raccoon, Raccoon",Traditional,deviantart
12/25/21,Christmas 2021,"Roni, Paco, Nemo, Julio, Biro, Art, Rocky","Collie, Panda, Panda, Bear, Fox, Raccoon, Raccoon",Traditional,deviantart
12/21/21,Cozy Evening by the Fireplace,"Kona, Jaycatt Nico","Otter, Cat",Digital,deviantart
12/19/21,First Meet,"Kazan, Steffen","Wolf, Otter",Traditional,deviantart
12/17/21,Tostada,Tostada,Bunny,Traditional,deviantart
12/15/21,Magic Kingdom,"Katsu, Timburrs, Flip, Ruka","Fox, Red Panda, Rabbit, Tiger",Digital,deviantart
12/13/21,Tigg's convertible,"DJ Wolf, Tiggs","Wolf, Tiger",Traditional,deviantart
12/11/21,Love,"Cove, Andy","Otter, Wolf",Digital,deviantart
12/9/21,Hubcap's Backyard Bargain Bonanza,Hubcap,Hyena,Digital,deviantart
11/30/21,Intergalactic Dream,NaN,Raccoon,Traditional,deviantart
11/8/21,Skater Pandas,"Paco, Steel","Panda, Red Panda",Traditional,furaffinity
11/6/21,Space Travel,"Kai Veloski, Beeps","White Tiger, Fox-Dragon",Digital,furaffinity
10/9/21,Malaika,Malaika,African Wild Dog,Traditional,furaffinity
10/6/21,Lucha Libre,unknown,Foxes,Digital,furaffinity
10/1/21,Autumn Railway,"Paco, Panda",Pandas,Traditional,furaffinity
9/26/21,Music for Balasch,Balasch,Arctic Wolf,Traditional,furaffinity
9/23/21,Nordic Forest,"Mango, Pico","Dragon, Lizard",Digital,furaffinity
9/22/21,Manzanares,"Salmy, Paco","Cheetah, Panda",Traditional,furaffinity
9/18/21,Diving expedition,"Art, Biro, Blue Otter","Raccoon, Fox, Otter",Traditional,furaffinity
9/17/21,Tlaquepaque,"Roni, Kazan, Paco","Collie, Wolf, Panda",Traditional,furaffinity
9/12/21,Pan the Surmelle,Pancake,Surmelle,Traditional,furaffinity
9/11/21,House Roof,"Paco, Flurrabell","Panda, Bird",Traditional,furaffinity
