Date,Title,Character(s),Species,Medium
1/5/21,Calm always come,"Zak, Cirrus","Fox, Fox",Digital
1/7/21,Alf Doggo,Alf,Dog,Digital
1/8/21,A Hidden Shrine,"Shibby, Emerald","Fox, Fox",Traditional
1/14/21,Puck the Sabertooth,Puck,Sabertooth,Digital
1/15/21,Doctor Nodd,Nodd,Mouse,Traditional
1/18/21,Turt and Apollo,"RadiantBlaze, Turt","Wuskylynx™, Fox",Digital
1/18/21,Roni and Veemon,"Roni, Veemoon","Collie, Digimon",Traditional
1/20/21,Millones de Kilometros,"Sans, Rush","Velociraptor, Reindeer",Digital
1/24/21,Kai Telegram Stickers,"Kai (8), Paco","Red Panda, Panda",Digital
1/27/21,Robin and Nick,"Robin Hood, Nick Wilde","Fox, Fox",Digital
1/29/21,Swimming with Stingrays,"Mith, Puck, Rabid, Buckley, unknown Stingrays (4)","Otter, Sabertooth, Bunny, Deer, Stingrays (4)",Digital
1/30/21,The Pier,"Adam Prower, Jawbreaker","Fox, Poodle",Digital
1/31/21,Samy,Samy,Goat,Digital
